"CSZX","城市之星"
"GYB8388","宁海县西店晨源电器厂"
"SUJUNWUJIN","上海苏俊实业有限公司"
"CHCHXIN88","陈长兴（个体经营）"
"HZD19572010","深圳市中德听力技术有限公司"
"HBJIAWENWEN","隆鑫物流公司"
"CNC2005","陈能昌（个体经营）"
"MCWX","胡秀红"
"PUJINGCHINA","深圳市普京物流有限公司"
"CHENGYUEHDMI","东莞市成越电子有限公司"
"ZHENGSHUOIVAN","广州市越秀区施耐德电气器材贸易部"
"AMW1012","力天和激光设备有限公司"
"YUHUITONGXIN","长沙宇辉通信技术有限公司"
"SZWULIUHUOYUN","深圳市志强运输服务有限公司 "
"LONGCHENKUAIDI","东莞市龙诚货运代理有限公司"
"XTST1688","北京鑫泰顺通货运有限公司"
"JBWL999","广州市杰邦物流服务有限公司"
"XB2427","广东新邦物流有限公司狮山分公司"
"LZWULIU","北京联众物流公司"
"LONGRUTAOCORP","上海浩凯物流有限公司"
"NSYLOGISTICS","广州新世域货运代理有限公司"
"HHB55","山东青岛树脂工艺品有限公司"
"CY808","温州市嘉大皮具有限公司"
"WEARJEANS","广州华紫贸易有限公司"
"XJTC201314","叶龙"
"BESTMWDMGZ","广州市海珠区裳服廊制衣厂"
"SICHUANCHEMA","四川驹马运输有限公司"
"ZHONGYESUDI","深圳市中野大通货运代理有限公司"
"MOBEILAOSOU","常州正天物流有限公司（北京分公司）"
"XIE1ZHU","sale tp"
"LIULIN83628088","刘林（个人）"
"GUUCONG","顾大侠公司"
"H362519Q","大夏集团众达物流有限公司"
"HONGXIANGWUL","苏州呈仁物流有限公司"
"DIOR058","广州兴鑫物流有限公司"
"LIQI4029433","上海明心物流有限公司"
"HUANGLEILEI868","溧水县萍萍电子商务商行"
"SHUAISHUAI18292","董帅帅"
"LEIXIANLI1688","余姚市春江电器有限公司"
"KLDCWJH","德邦物流江苏常熟营业部"
"XIAOHAIBAOBAOZ","张春芳(个体经营)"
"JXANTAIWL","江西安泰物流有限公司"
"SENYAN1688","石狮市森研服装加工厂"
"YZMAER","扬州宏远化工新材料有限公司"
"XINDL88888","惠安县水南石雕工艺品店"
"XINDALU56","深圳市新大陆联合物流有限公司"
"CZYFXSZP","常州市云峰橡塑制品有限公司"
"MDDZ998","东莞市铭旭电子有限公司"
"GZJUNYI1688","深圳市兴安达物流有限公司"
"JBWL021","上海集帮物流有限公司"
"NANGFENG123","广州市奋发物流有限公司"
"EVGMAXIN","苏州鲁运运输有限公司"
"DJHFDC","惠昌物流（深圳）有限公司"
"JIM666","峻奇（上海）国际物流有限公司"
"JXANTAIWL01","江西安泰物流有限公司"
"RG56HZ","深圳市冉光物流有限公司"
"HUIXI56","东莞市南城汇曦货物代理服务部"
"SHJATO","上海佳速物流有限公司"
"GSWL0512","苏州国顺物流有限公司"
"GANJIANG56","上海赣江物流有限公司"
"BOJINWULIU","搏今物流有限公司"
"LIUWEIDONG88","北京市京南凯达物流有限公司"
"LIUXUAN20120308","东莞安之达货运有限公司 国内业务部"
"BJYIMENG56","北京亿盟物流有限公司"
"KANGLI168","广州晨阳国际货运代理有限公司"
"TTKDEX","海航天天快递（上海）有限公司"
"YUIOP12369","广州市远朝物流有限公司"
"YONGKUN2828","永坤电机(深圳）有限公司"
"WWW56LIPIN","北京永诚信通贸易有限公司"
"AN974","揭阳市尚之韵五金工艺制品厂"
"CORKPADS","东莞市杰凯包装材料有限公司"
"MLYKBJ","浙江省义乌市天荣贸易有限公司"
"NJFRYDQC","宁津县富睿运动器材有限公司"
"CDLFHDJX","成都联发恒达机械有限公司"
"CXSYE","慈溪市思逸尔微型喷雾器有限公司"
"JISHIYUPAOTUI","京东极时雨跑腿咨询服务有限公司"
"SHYUSHI56","上海禹石物流有限公司"
"LIANZHIFEIFEI1688","义乌市帛泰纺织有限公司"
"ZHOUJIANLONGRI","傻二哥时尚精品"
"GDYEMING","广州市白云区太和泰邦物流鲁通货运部"
"FDS1118","深圳市龙岗物流公司"
"DGJDHY","东莞市佳达物流有限公司"
"SHYONGMIN56","上海永民物流有限公司"
"PETER138139","浩通国际货运代理有限公司深圳分公司"
"YOU66279876","上海晟锋物流有限公司（总部）"
"LIJUNHU56","江西和顺物流有限公司"
"CHENHUIWL","广昌县晨晖物流有限公司"
"LIHU77924","苏州亚东国际物流有限公司国内物流部"
"YANGXIAOFANG2011","苏州市明旺货运有限公司"
"PHAIER","佛山市自在王家具有限公司 "
"SDQUFURUITE","曲阜市锐特工程机械配件有限公司"
"ZHAOHAIJUN0231985","永兴印刷"
"WOSHIMAOJI7","长沙市手工定做钻壳代理韩版饰品小额批发有限公司"
"HGSWLGS","杭州宇康物流有限公司"
"SZZHH56","苏州中汇物流有限公司"
"LIUHU19860214","武汉川渝物流发展有限公司"
"GZSQFS","广州市越秀区胜麒服饰商行"
"HEXIEHUAHUI","沭阳县和谐花卉苗木园"
"YQJF126","张功超（个体经营）"
"GZMINGYU","东莞市桥联货运有限公司"
"DENGJIAN1126","深圳市龙岗区坪地嘉鑫贷运代理服务部"
"VIP20090808","上海迈歌信息科技有限公司诚信通事业部"
"JUSTALI","上海怡游商贸有限公司"
"SOMEBODY2008","三生网媒有限公司"
"YFH19880303","深圳市原飞航物流（绍兴分）有限公司"
"HENGLITAIZUAN","东莞市横沥台钻五金模具店"
"BOBO18648","bobo18648"
"QQ810366256","东莞市捷邦物流有限公司"
"GPWL","贵平物流"
"WODEWEILAIBUSHIMENG5","山东世通承运物流配送服务有限公司"
"HEBEI88XINYUJIE","雄县鑫宇压缩毛巾厂"
"ZJHENGDE888","义乌市恒德机电贸易有限公司"
"WANGYINWU2012","诸暨市江藻永明鞋厂 销售部"
"ALI56ALI56","阿里物流"
"YINHAO5888","上海银豪物流有限公司"
"WANG1311829441","北京昊凌物流有限公司"
"JINGHANG2001","深圳市深京航物流有限公司"
"SHIXING56","上海适行物流有限公司"
"HEHAIWULIU","上海鹤海物流有限公司"
"HTWLYS","北京海涛物流有限公司"
"WEGO56","上海维京物流有限公司"
"SHANGYUN56","上海双运物流有限公司"
"SZQD56","深圳市庆达物流有限公司"
"FENGSU56COMPANY","台州市锋速物流有限公司"
"TIANHUIWULIU168","东莞市天辉物流有限公司"
"GOOBNN8","上海港邦物流有限公司"
"ZHENGJIAN1011","郑建（个体经营）"
"NTGTWL","南通港通物流有限公司"
"MC364198632","郑梦晨"
"PGB316","兴联冷藏货运代理有限公司"
"JLH8866","深圳市佳立豪塑胶材料有限公司"
"LVNL521","苏州长飞国际快递有限公司"
"QZHJGJ","海门市清正和紧固件有限公司"
"MEIPAR","佛山市南海区美派彩印厂"
"WSQLIKE","宁波天润国际物流有限公司业务一部"
"LEW1688","刘立海"
"ZHANGXIUYUN003","济南铭仕港物流有限公司储运部"
"ZHANGCHUNXIAO56","顺宏达货运公司业务部"
"LIXIANGKUNT","广州市番禺区凌金货物运输代理服务部"
"SHZJPS","上海雄坤物流有限公司"
"BJCYWYWL","北京春雨伟业物流有限公司"
"PYJIEXUN","广州市捷都货运代理有限公司"
"SHENZHENHUOYUN56","深圳市汉邦物流有限公司"
"YI00YI08","南京广源货运配载部"
"SZJIEYINGTONG","深圳市捷盈通运输有限公司"
"SHBX66278355","上海冰鑫物流有限公司"
"HONG198595","青岛万隆华宇物流有限公司"
"DSLUOWENBO8","上海大众搬家运输有限公司普陀分公司"
"NENGFEIWULIU","上海能飞物流有限公司"
"JLWL0002","健朗物流广州有限公司北区业务部"
"ALP","阿里物流"
"AAEWEB","AAE全球专递"
"GSD","共速达物流"
"DAGUANGSU","ali China networking Limited company"
"WHCHAOYUAN","芜湖市超源包装有限公司"
"YIWUZONGXINWULIU","义乌市宗信货物运输有限公司"
"HAODIAPPLIANCE","杭州好迪电器有限公司"
"SHENWAN888","青岛华九服饰有限公司"
"LGHPCB1983","李桂红(个体经营)"
"WUHPY","武汉奥凯物流服务有限公司"
"KIMI235","阿里测试公司"
"CHUNDAXIN","深圳市春达鑫光电有限公司"
"DOU859368070","桂鹏飞（个体经营）"
"BJSANJIN","付兆亮（个体经营）"
"HUANGJINWL","宁波黄金物流有限公司"
"HUALIANZHANGSIR","杭州石大路货运市场华友货运部"
"JIDAI2012","京达货运服务部"
"ZGJINCHUAN","广州金川物流有限公司"
"YIXINGYUNSHU","无锡驿兴运输有限公司"
"LIUCAN19791014","东莞厚街诚达物流公司"
"BJJIJIETONG","荆建财"
"LAIBANG88","无锡市来邦货运代理服务部"
"ZHIKUPIDAI","广州市海珠区致酷皮带店"
"GXJXWL","广西江夏物流有限责任公司"
"WXN731216","宁波大道国际货代有限公司业务部"
"BEIZHONGMEI","程希保(个体经营)"
"HONCERLOGISTICS","广西浩承物流有限公司"
"X551893821","杭州德邦货运代理有限公司临浦分公司"
"JUNDONG2012","东莞南城骏东物流服务代理部"
"NANGANGSZ","苏州南港物流有限公司"
"FZQ83853136","无锡市隆鑫运输有限公司"
"HSWL512","上海宏盛物流有限公司"
"XINYANGNONGYE","郑州市亨泽储运有限公司"
"HOUMINTAN","東莞市寮步星鑫货运代理營業部"
"WXMINGJIAHUOYUN","无锡明佳货运有限公司"
"YZDNHXWN","仪征市真州镇弘途货物配载服务部"
"ICEFISH1663","厦门大田国际货运有限公司"
"LIMAOCHUN123","广州惠昌物流有限公司"
"JINFEIYAN888","广州金飞雁运输服务有限公司"
"DGTIANSHI56","东莞市南城天时货运代理部"
"BJTAIHEXING","北京太和兴工贸有限公司"
"FU20111123","付婉婉"
"WPS1688","三门峡市渑池县鼎盛矿产资源有限责任公司"
"BXDGOOD","深圳市宇速货运有限公司"
"IC988","苏州新电元半导体有限公司"
"LINXEUQING","温州信泰信息货运部"
"QQ347357307","璧山县客隆编织袋经营部"
"LXH782786274","李绪煌"
"SHZYWL","上海卓业物流有限公司"
"CHUNMEI0321","深圳市金桥环世货运代理有限公司"
"BJZXTHY","北京中兴通货物运输有限责任公司"
"GONGSUDA1212","共速达物流股份公司"
"SSHY56","盛世宏运物流公司"
"WUXIJINGDU56","无锡京都货运代理有限公司"
"HY86821275","海盐苏通物流运营部"
