"DEPPON","德邦物流"
"TEL15013386786","广州港通物流有限公司"
"YUBOND","深圳市宇邦物流有限公司"
"KAIGEHAN2010","深圳市鑫联运国际货运代理有限公司"
"LIANGKAI1759","广州市新邦物流服务有限公司成都双流蛟龙港分公司"
"XBWL","新邦物流"
"YAN3707","广州市海川物流有限公司广州分公司"
"QINLEI29882531","深圳市恒通物流有限公司"
"XHGWL2011","广州市新恒广物流有限公司"
"JCWC8711","东莞市长安赣通货运代理服务部"
"AFT56","新疆阿凡提物流有限公司"
"DTW","大田陆运"
"JIAYI","佳怡物流"
"HOAU","天地华宇"
"ZONGBING84","上海总滨货物运输代理有限公司"
"SHENGHUI","盛辉物流"
"SUYANSUYUN","上海速雁物流有限公司"
"JIAJI","佳吉快运"
"YCGWL","远成物流"
"LIU448175177","佛山市高明区方方通物流有限公司"
"TTKDEX","海航天天快递（上海）有限公司"
"ZTWL","中铁物流"
"CSZX","城市之星"
"XSDTC","新时代通成"
"ZTO","中通速递"
"GSD","共速达物流"
"YUNDA","上海韵达货运有限公司"
