"DEPPON","德邦物流"
"ALISHUILAN561668","无锡市水蓝货运代理服务部"
"NBXY56","宁波东钱湖旅游度假区鑫宇物流有限公司"
"JIAYU","佳宇物流"
"8880181","天津市振东天宇物流有限公司（总经理部）"
"SHHX","上海昊昕物流有限公司"
"CHUANGSHI68","安能卡车航班（深圳）集运中心"
"DGLUJIA2011","东莞市路佳货运部"
"JIEXIANLONG","苏州奔腾货运有限公司"
"DGHC2011","广州惠昌物流有限公司"
"XBWL","新邦物流"
"JUCHUANG56","无锡聚创货运代理有限公司"
"BJLXWLYXGS","北京隆鑫互通物流有限公司"
"WEILONG56","常州市立祥货运公司"
"HXZSHYB","杭州萧山中商货运部"
"XIANGLAIWULIU","上海翔莱物流有限公司"
"JXHNZCH","张翠红"
"SHHAODI","上海好迪物流有限公司"
"QINLEI29882531","深圳市恒通物流有限公司"
"XYD568","佛山市顺德区翔宇达物流公司"
"XIONG154598514","苏州传邦物流有限公司"
"XHGWL2011","广州市新恒广物流有限公司"
"DWZHENG2012","深圳市美泰物流国际有限公司"
"GZZHITAI","志泰物流有限公司"
"PINJIAWULIU","东莞市品嘉实业投资有限公司"
"AFT56","新疆阿凡提物流有限公司"
"GZJX1983","桔圣物流有限公司"
"DTW","大田陆运"
"JIAYI","佳怡物流"
"XFHYYCL","杭州雄发货运有限公司快运部"
"MISSTB","台湾上大邮通国际物流有限公司（深圳上大）"
"HOAU","天地华宇"
"DFQC1688","江西省奉新东方汽车服务有限公司"
"FZXSP56","上海显祖物流有限公司"
"LIUJIANHUA64","江西信广物流有限公司"
"CZBDDWL","苏州遍地达货运有限公司"
"FZQ83853136","无锡市隆鑫运输有限公司"
"SHENGHUI","盛辉物流"
"SUYANSUYUN","上海速雁物流有限公司"
"AIYING902","昆山市佳丰货运有限公司（业务部）"
"JIAJI","佳吉快运"
"BESTQJT","百世全际通"
"SHYONGMIN56","上海永民物流有限公司"
"BJXTWULIU","北京兴铁顺通物流有限公司"
"RG56HZ","深圳市冉光物流有限公司"
"TIANHUIWULIU168","东莞市天辉物流有限公司"
"SXZHUORANWULIU","杭州卓然物流有限公司"
"SHHONGKONG1373","上海宏空物流有限公司"
"SZBENTENGWULIU","苏州奔腾货运有限公司"
"HOAU1985","河源市广源货运有限公司"
"SZBENTENGHUOYUN","苏州奔腾货运有限公司"
"HGSWLGS","杭州宇康物流有限公司"
"DIOR058","广州兴鑫物流有限公司"
"WXHXWL8","上海汇星物流有限公司"
"SZHW66","深圳市恒威物流货运有限公司"
"YCGWL","远成物流"
"TTKDEX","海航天天快递（上海）有限公司"
"ZTWL","中铁物流"
"L888VIP","佛山隆昌物流有限公司"
"A130081681","上海富瑜物流有限公司"
"CSZX","城市之星"
"DGCHANGSHUN56","东莞市万江昌顺货运部"
"ZTO","中通速递"
"GSD","共速达物流"
"LUOYUNCAIWULIU","廖海英"
"A1458690093","江西东方汽车服务公司"
"COCOCAN","义乌金驰货运代理有限公司"
"YUNDA","上海韵达货运有限公司"
"CTAI2008","上海超泰物流有限公司"
"HNFSWL","湖南长沙方顺物流有限公司"
"LIUJIANMEI20110530","广昌恒丰物流有限公司（杭州办事处）"
